Iteration,MaxVoltageChange
1,4.9635653451e-02
2,5.7100110746e-02
3,3.8121314369e-02
4,2.4279107953e-02
5,1.5374779745e-02
6,9.6944381135e-03
7,6.1053689238e-03
8,3.8356824535e-03
9,2.4065669950e-03
10,1.5072357648e-03
11,9.4278059668e-04
12,5.8888692372e-04
13,3.6741190327e-04
14,2.2896696777e-04
15,1.4254476034e-04
16,8.8655193846e-05
17,5.5089678237e-05
18,3.4203396711e-05
19,2.1219190045e-05
20,1.3154313970e-05
21,8.1490843163e-06
22,5.0450785878e-06
23,3.1214971722e-06
24,1.9302295731e-06
25,1.1929452827e-06
26,7.3690368807e-07
